"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
"
North America
","48,842,117","+18,731","1,006,673",+758,"38,074,054","+17,269","9,761,390"
"
Asia
","70,994,291","+118,005","1,049,192","+2,168","66,280,456","+160,313","3,664,643"
"
South America
","37,032,591",,"1,134,070",,"34,851,630",,"1,046,891"
"
Europe
","55,781,261","+30,441","1,179,120",+895,"50,919,786","+52,928","3,682,355"
"
Africa
","7,945,380",+204,"198,814",+13,"7,075,709",+713,"670,857"
"
Oceania
","170,144","+1,977","2,253",+7,"119,305",+36,"48,586"
"

",721,,15,,706,,0
World,"220,766,505","+169,358","4,570,137","+3,841","197,321,646","+231,259","18,874,722"
USA,"40,703,674",,"664,935 ",,"31,265,847",,"8,772,892"
India,"32,945,907","+1,216","440,256 ",,"32,100,001","+7,884","405,650"
Brazil,"20,856,060",,"582,753 ",,"19,820,202",,"453,105"
Russia,"6,993,954","+18,780","186,407 ",+796,"6,255,475","+18,737","552,072"
UK,"6,904,969",,"133,041 ",,"5,561,928",,"1,210,000"
France,"6,812,706",,"114,773 ",,"6,356,262","+21,079","341,671"
Turkey,"6,458,630",,"57,559 ",,"5,886,912",,"514,159"
Argentina,"5,199,919",,"112,356 ",,"4,891,152",,"196,411"
Iran,"5,103,537","+20,404","110,064 ",+515,"4,332,892","+30,881","660,581"
Colombia,"4,914,881",,"125,158 ",,"4,744,394",,"45,329"
Spain,"4,877,755",,"84,795 ",,"4,418,343",,"374,617"
Italy,"4,559,970",,"129,410 ",,"4,293,535",,"137,025"
Indonesia,"4,123,617","+6,727","135,469 ",+539,"3,827,449","+13,806","160,699"
Germany,"3,996,616",,"92,829 ",,"3,763,600","+6,000","140,187"
Mexico,"3,405,294","+17,409","262,221 ",+725,"2,744,885","+17,226","398,188"
Poland,"2,890,161",+389,"75,379 ",+7,"2,657,330",+56,"157,452"
South Africa,"2,805,604",,"83,161 ",,"2,578,741",,"143,702"
Ukraine,"2,296,155","+2,614","53,966 ",+44,"2,212,313","+1,447","29,876"
Peru,"2,153,092",,"198,420 ",,N/A,N/A,N/A
Philippines,"2,061,084","+20,741","34,062 ",+189,"1,869,376","+21,962","157,646"
Netherlands,"1,949,195",,"18,026 ",,"1,856,830",,"74,339"
Iraq,"1,908,079",,"20,994 ",,"1,756,586",,"130,499"
Malaysia,"1,824,439","+19,057","17,883 ",+362,"1,550,254","+21,582","256,302"
Czechia,"1,680,354",+303,"30,406 ",,"1,647,670",+7,"2,278"
Chile,"1,640,192",,"37,041 ",,"1,597,118",,"6,033"
Japan,"1,541,528","+16,739","16,247 ",+63,"1,319,378","+22,632","205,903"
Canada,"1,511,212",,"27,006 ",,"1,449,550",,"34,656"
